,0
21,[O:1]=[C:22]([N:25]([C:28]([C:23](=[O:2])[N:24]([C:27]([H:48])([H:49])[H:50])[H:43])([H:51])[H:52])[H:44])[C:26]([H:45])([H:46])[H:47].[O:3]=[P:29]([O:9][H:35])([O:10][H:36])[O:17][P:31](=[O:5])([O:13][H:39])[O:19][P:33](=[O:7])([O:15][H:41])[O:21][P:34](=[O:8])([O:16][H:42])[O:20][P:32](=[O:6])([O:14][H:40])[O:18][P:30](=[O:4])([O:11][H:37])[O:12][H:38]
22,[O:1]=[C:6]([c:14]1[c:11]([H:30])[c:9]([H:28])[c:13]([O:4][C:20]([C:24]2([H:50])[C:22]([H:46])([H:47])[C:21]([H:44])([H:45])[C:23]2([H:48])[H:49])([H:42])[H:43])[c:10]([H:29])[c:12]1[H:31])[N:15]([H:32])[H:33].[O:2]=[C:7]([N:17]([C@@:26]([C:8](=[O:3])[N:16]([C:19]([H:39])([H:40])[H:41])[H:34])([C:25]([O:5][H:27])([H:51])[H:52])[H:53])[H:35])[C:18]([H:36])([H:37])[H:38]
23,[O:1]=[C:11]([N:25]([C@@:30]([C:13](=[O:3])[N:24]([C:27]([H:46])([H:47])[H:48])[H:41])([C:29]([C:28]([C:12](=[O:2])[O-:8])([H:49])[H:50])([H:51])[H:52])[H:53])[H:42])[C:26]([H:43])([H:44])[H:45].[O:4]=[S:31](=[O:5])([O:9][H:33])[c:20]1[c:16]([H:37])[c:15]([H:36])[c:19]([H:40])[c:23]2[c:21]([S:32](=[O:6])(=[O:7])[O:10][H:34])[c:17]([H:38])[c:14]([H:35])[c:18]([H:39])[c:22]12
24,[N:3]1=[C:9]([C:21]([H:39])([H:40])[H:41])[S:6][c:15]2[c:11]([H:28])[c:14]([O:5][C:19]([H:33])([H:34])[H:35])[c:13]([O:4][C:18]([H:30])([H:31])[H:32])[c:10]([H:27])[c:12]21.[O:1]=[C:7]([N:17]1[C:23]([H:45])([H:46])[C:24]([H:47])([H:48])[C:25]([H:49])([H:50])[C@@:26]1([C:8](=[O:2])[N:16]([C:22]([H:42])([H:43])[H:44])[H:29])[H:51])[C:20]([H:36])([H:37])[H:38]
25,[O:1]=[C:7]([O:5][H:29])[C:8](=[O:2])[c:21]1[c:17]([H:37])[c:13]([H:33])[c:12]([H:32])[c:16]([H:36])[c:20]1[S:6][H:30].[O:3]=[C:9]([N:24]([C@@:28]([C:10](=[O:4])[N:23]([C:26]([H:45])([H:46])[H:47])[H:40])([C:27]([c:22]1[c:18]([H:38])[c:14]([H:34])[c:11]([H:31])[c:15]([H:35])[c:19]1[H:39])([H:48])[H:49])[H:50])[H:41])[C:25]([H:42])([H:43])[H:44]
26,[O:1]=[C:9]([N:23]([c:13]1[n:8][c:12]([H:32])[c:16]([H:35])[c:21]([Br:7])[c:17]1[H:36])[H:39])[N:26]([S:31](=[O:4])(=[O:5])[c:22]1[c:18]([H:37])[c:14]([H:33])[c:20]([Cl:6])[c:15]([H:34])[c:19]1[H:38])[H:42].[O:2]=[C:10]([N:25]([C@@:30]([C:11](=[O:3])[N:24]([C:28]([H:46])([H:47])[H:48])[H:40])([C:29]([H:49])([H:50])[H:51])[H:52])[H:41])[C:27]([H:43])([H:44])[H:45]
27,[O:1]=[C:6]([N:19]([C@@:26]([C:8](=[O:3])[N:18]([C:21]([H:39])([H:40])[H:41])[H:34])([C:25]([C:10]1=[C:9]([H:28])[N:17]([H:33])[c:16]2[c:14]([H:32])[c:12]([H:30])[c:11]([H:29])[c:13]([H:31])[c:15]21)([H:48])[H:49])[H:50])[H:35])[C:20]([H:36])([H:37])[H:38].[O:2]=[C:7]([O:5][H:27])[C:24]([Br:4])([C:22]([H:42])([H:43])[H:44])[C:23]([H:45])([H:46])[H:47]
28,[O:1]=[C:8]1[C:12]2=[C:14]([C:29]([H:42])([H:43])[H:44])[C:9]([H:33])=[C:13]([c:24]3[c:16]([O:7][c:23]4[c:19]([H:39])[c:17]([H:37])[c:21]([F:4])[c:18]([H:38])[c:22]4[F:5])[n:6][c:15]([H:36])[c:25]([S:32](=[O:2])(=[O:3])[N:28]([C:30]([H:45])([H:46])[H:47])[C:31]([H:48])([H:49])[H:50])[c:20]3[H:40])[N:27]2[C:11]([H:35])=[C:10]([H:34])[N:26]1[H:41]
29,[O:1]=[C:5]([N:23]([C@@:27]([C:6](=[O:2])[N:22]([C:25]([H:45])([H:46])[H:47])[H:40])([C:26]([c:20]1[c:14]([H:37])[c:9]([H:32])[c:16]([O:3][H:28])[c:10]([H:33])[c:15]1[H:38])([H:48])[H:49])[H:50])[H:41])[C:24]([H:42])([H:43])[H:44].[O:4]([c:17]1[c:11]([H:34])[c:13]([H:36])[c:19]2[c:18]([c:12]1[H:35])[C:7]([H:30])=[C:8]([H:31])[N:21]2[H:39])[H:29]
30,[O:1]=[C:13]([N:18]([C@@:27]([C:16](=[O:4])[N:17]([C:21]([H:41])([H:42])[H:43])[H:34])([C:26]([C:23]([C:14](=[O:2])[O-:6])([H:46])[H:47])([H:50])[H:51])[H:52])[H:35])[C:19]([H:36])([H:37])[H:38].[O:3]=[C:15]([C:20]([O:7][H:29])([H:39])[H:40])[C:24]([O:8][H:30])([C:25]([O:9][H:31])([C:22]([O:12][P:28](=[O:5])([O:10][H:32])[O:11][H:33])([H:44])[H:45])[H:49])[H:48]
31,[O:1]([C@:15]1([H:45])[C:3]([H:23])=[C:5]2[C:6]([H:25])([H:26])[C:11]([H:36])([H:37])[C@@:18]3([H:47])[C@:17]4([H:46])[C:10]([H:34])([H:35])[C:2]([H:22])=[C:4]([H:24])[C@@:16]4([C:8]([H:29])([H:30])[H:31])[C:9]([H:32])([H:33])[C:12]([H:38])([H:39])[C@:19]3([H:48])[C@@:20]2([C:13]([H:40])([H:41])[H:42])[C:14]([H:43])([H:44])[C:7]1([H:27])[H:28])[H:21]
32,[O:1]=[C:8]([O:6][C:22]([H:34])([H:35])[H:36])[c:18]1[c:14]([H:29])[c:13]([H:28])[c:16]2[c:17]([c:15]1[H:30])[S:7][C:12]([N:19]([C:9](=[O:2])[C:23]([H:37])([H:38])[H:39])[H:31])=[N:5]2.[O:3]=[C:10]([N:21]([C@@:27]([C:11](=[O:4])[N:20]([C:25]([H:43])([H:44])[H:45])[H:32])([C:26]([H:46])([H:47])[H:48])[H:49])[H:33])[C:24]([H:40])([H:41])[H:42]
33,[C:5](=[C:7]([N+:13]1=[C:9]([H:26])[N:10]([H:27])[C:6]([H:23])=[C:8]1[H:25])[H:24])([H:21])[H:22].[O:1]=[C:3]([N:12]([C@@:20]([C:4](=[O:2])[N:11]([C:15]([H:33])([H:34])[H:35])[H:28])([C:19]([C:18]([C:16]([H:36])([H:37])[H:38])([C:17]([H:39])([H:40])[H:41])[H:42])([H:43])[H:44])[H:45])[H:29])[C:14]([H:30])([H:31])[H:32]
34,[N:1]#[C:5][C:11]1=[C:12]([c:25]2[c:19]([H:36])[c:15]([H:32])[c:23]([F:3])[c:16]([H:33])[c:20]2[H:37])[C:30]([H:45])([H:46])[C:31]([c:26]2[c:21]([H:38])[c:17]([H:34])[c:24]([F:4])[c:18]([H:35])[c:22]2[H:39])([C:29]([H:42])([H:43])[H:44])[N:28]([H:41])/[C:14]1=[C:13](\[C:6]#[N:2])[C:10]1=[N:9][N:7]=[N:8][N:27]1[H:40]
35,[N:1](=[C:3](\[O:2][c:24]1[c:17]([H:41])[c:9]([H:33])[c:14]([H:38])[c:22]([H:46])[c:27]1-[c:26]1[c:20]([H:44])[c:12]([H:36])[c:6]([H:30])[c:13]([H:37])[c:21]1[H:45])[c:25]1[c:18]([H:42])[c:10]([H:34])[c:5]([H:29])[c:11]([H:35])[c:19]1[H:43])\[c:23]1[c:15]([H:39])[c:7]([H:31])[c:4]([H:28])[c:8]([H:32])[c:16]1[H:40]
36,[O:1]1[c:12]2[c:10]([H:32])[c:8]([H:30])[c:9]([H:31])[c:11]([H:33])[c:13]2[C:17](/[C:6](=[C:7](/[C:19]2([H:41])[N:14]([C:15]([H:34])([H:35])[H:36])[C:18]([H:39])([H:40])[C:20]([H:42])([H:43])[C:22]([H:46])([H:47])[C:21]2([H:44])[H:45])[H:29])[H:28])([H:38])[C:23]2([H:48])[C:5]([H:27])=[C:3]([H:25])[C:2]([H:24])=[C:4]([H:26])[C:16]12[H:37]
37,[O:1]=[C:6]([O:5][H:28])[c:18]1[c:14]([H:34])[c:10]([H:30])[c:11]([H:31])[c:15]([H:35])[c:19]1[S:23](=[O:4])[C:27]([c:20]1[c:16]([H:36])[c:12]([H:32])[c:9]([H:29])[c:13]([H:33])[c:17]1[H:37])([H:48])[H:49].[O:2]=[C:7]([N:22]([C:26]([C:8](=[O:3])[N:21]([C:25]([H:43])([H:44])[H:45])[H:38])([H:46])[H:47])[H:39])[C:24]([H:40])([H:41])[H:42]
38,[N:1]#[C:5][c:22]1[c:13]([H:34])[c:20]([Cl:3])[c:15]([H:36])[c:23]([O:7][c:25]2[c:17]([H:38])[c:24]([O:8][C:31]([C:9]3=[N:6][N:29]([H:43])[C:11]([c:26]4[c:18]([H:39])[c:27]([H:41])[n+:30]([O-:2])[c:28]([H:42])[c:19]4[H:40])=[C:10]3[H:32])([H:44])[H:45])[c:14]([H:35])[c:12]([H:33])[c:21]2[Cl:4])[c:16]1[H:37]
39,[Cl:1][c:14]1[c:15]([C:23]([N:20]2[N:3]=[N:2][C:13]([C:22]([N:21]([C@@:24]3([H:43])[C@@:25]([O:6][H:30])([H:44])[C@:28]([O:9][H:33])([H:47])[C@@:29]([O:10][H:34])([H:48])[C@:26]([O:7][H:31])([H:45])[C@@:27]3([O:8][H:32])[H:46])[H:38])([H:39])[H:40])=[C:12]2[H:35])([H:41])[H:42])[c:17]([H:37])[c:19]2[c:18]([c:16]1[H:36])=[N:4][S:11][N:5]=2
40,[O:1]=[C:6]([N:19]([c:15]1[c:7]([H:28])[c:13]([H:34])[c:18]([S:26](=[O:2])(=[O:3])[O-:4])[c:14]([H:35])[c:8]1[H:29])[H:36])[C:25]([C:23]([S:5][H:27])([H:43])[H:44])([C:24]([c:17]1[c:11]([H:32])[c:9]([H:30])[c:16]([N:20]([C:21]([H:37])([H:38])[H:39])[C:22]([H:40])([H:41])[H:42])[c:10]([H:31])[c:12]1[H:33])([H:45])[H:46])[H:47]
41,[O:1]=[C:6]1[C:10]([Cl:4])=[C:11]([N:15]([C:22]2([H:43])[C:20]([H:39])([H:40])[N:14]([H:27])[C:21]2([H:41])[H:42])[H:28])[C:9]([H:25])=[N:5][N:13]1[C:19]([H:36])([H:37])[H:38].[O:2]=[C:7]([N:16]([C@@:24]([C:8](=[O:3])[N:12]([C:18]([H:33])([H:34])[H:35])[H:26])([C:23]([H:44])([H:45])[H:46])[H:47])[H:29])[C:17]([H:30])([H:31])[H:32]
42,[Cl:1][c:18]1[c:13]([H:33])[c:14]([H:34])[c:19]2[c:21]([c:17]1[H:37])[N:24]([C:27]([C:26]([O:4][H:28])([H:42])[H:43])([H:44])[H:45])[C:7]([C:25]([S:5][C:6]1=[N:2][C:8]([c:20]3[c:15]([H:35])[c:11]([H:31])[c:10]([H:30])[c:12]([H:32])[c:16]3[H:36])=[C:9]([H:29])[N:23]1[N:22]([H:38])[H:39])([H:40])[H:41])=[N:3]2
43,[O:1]=[C:4]1[C:13]([H:30])([H:31])[C:19]([H:41])([H:42])[C@:23]2([H:46])[C@@:20]3([H:43])[c:10]4[c:8]([c:7]([O:2][H:24])[c:5]([H:25])[c:6]([H:26])[c:9]4[C:18]([H:39])([H:40])[C@:22]2([N:11]([C:12]([H:27])([H:28])[H:29])[C:14]([C:17]2([H:38])[C:15]([H:34])([H:35])[C:16]2([H:36])[H:37])([H:32])[H:33])[H:45])[O:3][C@@:21]13[H:44]
44,[O:1]=[C:7]1[C:12]([H:28])=[C:13]([H:29])[C:8](=[O:2])[c:19]2[c:17]([O:6][H:27])[c:15]([H:31])[c:14]([H:30])[c:16]([H:32])[c:18]21.[O:3]=[C:9]([N:22]([C@@:26]([C:11](=[O:5])[N:21]([C:24]([H:40])([H:41])[H:42])[H:35])([C:25]([C:10](=[O:4])[N:20]([H:33])[H:34])([H:43])[H:44])[H:45])[H:36])[C:23]([H:37])([H:38])[H:39]
45,[O:1]=[C:6]([O:4][H:26])[c:15]1[c:10]([H:29])[c:7]([N:19]2[C:22]([H:39])([H:40])[C:24]([H:43])([H:44])[C:25]([O:5][H:27])([H:45])[C:23]2([H:41])[H:42])[n:3][c:8]([C:21]([N:18]([c:16]2[c:12]([H:31])[c:9]([H:28])[c:14]([F:2])[c:13]([H:32])[c:17]2[C:20]([H:34])([H:35])[H:36])[H:33])([H:37])[H:38])[c:11]1[H:30]
46,[O:1]=[C:7]1[C:11]([Cl:4])=[C:12]([N:22]([C:30]2([H:58])[C:28]([H:54])([H:55])[N:21]([H:40])[C:27]([H:52])([H:53])[C:29]2([H:56])[H:57])[H:41])[C:10]([H:34])=[N:5][N:20]1[C:26]([H:49])([H:50])[H:51].[O:2]=[C:8]([N:23]([C@@:32]([C:9](=[O:3])[N:19]([C:25]([H:46])([H:47])[H:48])[H:39])([C:31]([c:18]1[c:15]([H:37])[c:13]([H:35])[c:17]([O:6][H:33])[c:14]([H:36])[c:16]1[H:38])([H:59])[H:60])[H:61])[H:42])[C:24]([H:43])([H:44])[H:45]
47,[Cl:4][c:22]1[c:18]([H:42])[c:16]([H:40])[c:20]([O:6][C:29]([c:19]2[c:14]([H:38])[c:12]([H:36])[c:11]([H:35])[c:13]([H:37])[c:15]2[H:39])([H:51])[H:52])[c:23]2[n:5][c:10]([H:34])[c:17]([H:41])[c:21]([H:43])[c:24]12.[O:1]=[C:7]([N:27]([C@@:33]([C:9](=[O:3])[N:26]([C:30]([H:53])([H:54])[H:55])[H:46])([C:32]([C:31]([C:8](=[O:2])[N:25]([H:44])[H:45])([H:56])[H:57])([H:58])[H:59])[H:60])[H:47])[C:28]([H:48])([H:49])[H:50]
48,[O:1]=[C:8]([C:11]1=[C:12]([N:26]([H:45])[H:46])[N+:30]([H:50])=[C:13]([N:27]([c:25]2[c:20]([H:43])[c:14]([H:37])[c:17]([H:40])[c:23]([Cl:5])[c:21]2[H:44])[H:47])[S:7]1)[c:24]1[c:18]([H:41])[c:15]([H:38])[c:22]([F:4])[c:16]([H:39])[c:19]1[H:42].[O:2]=[C:9]([N:29]([C@@:34]([C:10](=[O:3])[N:28]([C:32]([H:54])([H:55])[H:56])[H:48])([C@:35]([O:6][H:36])([C:33]([H:57])([H:58])[H:59])[H:61])[H:60])[H:49])[C:31]([H:51])([H:52])[H:53]
49,[O:1]=[C:8]([N:20]([C@@:31]([C:10](=[O:3])[N:18]([C:22]([H:42])([H:43])[H:44])[H:37])([C:30]([C:23]([H:45])([H:46])[H:47])([C:24]([H:48])([H:49])[H:50])[H:60])[H:61])[H:38])[C:21]([H:39])([H:40])[H:41].[O:2]=[C:9]([O:6][H:32])[C:26]([C:29]1([H:59])[O:7][C:25]([H:51])([H:52])[C:27]([H:55])([H:56])[N:19]([c:15]2[n:5][c:13]([H:35])[n:4][c:14]3[c:16]2[C:11]([H:33])=[C:12]([H:34])[N:17]3[H:36])[C:28]1([H:57])[H:58])([H:53])[H:54]
